comid,nwis_site_code
4779457,01467470
4779499,01467471
932040163,01467492
4779851,01467688
4779513,01467752
4779853,01467861
4779607,01468500
4778811,01469500
4782265,01469700
4779167,01470500
4780523,01470729
4779075,01470736
4779053,01470756
4783101,01470779
4783303,01470853
4783213,01470960
4782017,01471000
4782313,01471510
4781023,01471700
4780991,01471710
4780673,01471800
4782005,01471835
4780759,01471845
4780921,01471875
4780995,01471900
4781199,01471980
4782441,01472000
4782153,01472157
4781847,01472174
4781885,01472186
4780723,01472198
4780787,01472199
4782009,01472620
4781261,01472810
4782107,01473000
4782141,01473120
4781877,01473169
4782501,01473500
4781679,01473870
4781731,01473900
4782173,01473950
4782185,01473980
4782187,01474000
4784831,01474500
